107.52	107.71	m
107.71	107.9	m
107.9	108.1	m
108.1	108.29	m
108.29	108.48	m
108.48	108.67	m
108.67	108.86	m
108.86	109.06	m
109.06	109.25	m
109.25	109.44	m
109.44	109.63	m
109.63	109.82	m
109.82	110.02	m
110.02	110.21	m
110.21	110.4	m
110.4	110.59	m
110.59	110.78	m
110.78	110.98	m
110.98	111.17	m
111.17	111.36	m
111.36	111.55	m
111.55	111.74	m
111.74	111.94	m
111.94	112.13	m
112.13	112.32	m
112.32	112.51	m
112.51	112.7	m
112.7	112.9	m
112.9	113.09	m
113.09	113.28	m
113.28	113.47	m
113.47	113.66	m
113.66	113.86	m
113.86	114.05	m
114.05	114.24	m
114.24	114.43	m
114.43	114.62	m
114.62	114.82	m
114.82	115.01	m
115.01	115.2	m
115.2	115.39	m
115.39	115.58	m
115.58	115.78	m
115.78	115.97	m
115.97	116.16	m
116.16	116.35	m
116.35	116.54	m
116.54	116.74	m
116.74	116.93	m
116.93	117.12	m
117.12	117.31	m
117.31	117.5	m
117.5	117.7	m
117.7	117.89	m
117.89	118.08	m
118.08	118.27	m
118.27	118.46	m
118.46	118.66	m
118.66	118.85	m
118.85	119.04	m
119.04	119.23	m
119.23	119.42	m
119.42	119.62	m
119.62	119.81	m
119.81	120.0	m
120.0	120.19	m
120.19	120.38	m
120.38	120.58	m
120.58	120.77	m
120.77	120.96	m
120.96	121.15	m
121.15	121.34	m
121.34	121.54	m
121.54	121.73	m
121.73	121.92	m
121.73	121.92	s
121.92	122.11	m
121.92	122.11	s
122.11	122.3	m
122.11	122.3	s
122.3	122.5	m
122.3	122.5	s
122.5	122.69	m
122.5	122.69	s
122.69	122.88	m
122.69	122.88	s
122.88	123.07	m
122.88	123.07	s
123.07	123.26	m
123.07	123.26	s
123.26	123.46	m
123.26	123.46	s
123.46	123.65	m
123.46	123.65	s
123.65	123.84	m
123.65	123.84	s
123.84	124.03	m
123.84	124.03	s
124.03	124.22	m
124.22	124.42	m
124.42	124.61	m
124.61	124.8	m
124.8	124.99	m
124.99	125.18	m
125.18	125.38	m
125.38	125.57	m
125.57	125.76	m
125.76	125.95	m
125.95	126.14	m
126.14	126.34	m
126.14	126.34	s
126.34	126.53	m
126.34	126.53	s
126.53	126.72	m
126.53	126.72	s
126.72	126.91	m
126.72	126.91	s
126.91	127.1	m
126.91	127.1	s
127.1	127.3	m
127.1	127.3	s
127.3	127.49	m
127.3	127.49	s
127.49	127.68	m
127.49	127.68	s
127.68	127.87	m
127.68	127.87	s
127.87	128.06	m
127.87	128.06	s
128.06	128.26	m
128.06	128.26	s
128.26	128.45	m
128.26	128.45	s
128.45	128.64	m
128.45	128.64	s
128.64	128.83	m
128.64	128.83	s
128.83	129.02	m
128.83	129.02	s
129.02	129.22	m
129.22	129.41	m
129.41	129.6	m
